tick,health,armor,ammo_bullets,ammo_shells,ammo_cells,ammo_rockets,pos_x,pos_y,pos_z,mom_x,mom_y,mom_z,speed,health_delta,ammo_bullets_delta,ammo_shells_delta,ammo_cells_delta,ammo_rockets_delta,distance_delta,damage_count,attack_down,cheats_flag,god_mode,noclip,infinite_ammo,speedhack,damage_attempts,shots_fired,player_state
689,100,0,50,0,0,0,152,-1344,64,0,0,0,0.0000,0,0,0,0,0,0.0000,0,1,0,0,0,0,0,0,0,0
691,100,0,50,0,0,0,152,-1344,64,0,0,0,0.0000,0,0,0,0,0,0.0000,0,1,0,0,0,0,0,0,0,0
694,100,0,50,0,0,0,152,-1344,64,0,0,0,0.0000,0,0,0,0,0,0.0000,0,1,0,0,0,0,0,0,0,0
696,100,0,50,0,0,0,152,-1344,64,0,0,0,0.0000,0,0,0,0,0,0.0000,0,1,0,0,0,0,0,0,0,0
699,100,0,50,0,0,0,152,-1344,64,0,0,0,0.0000,0,0,0,0,0,0.0000,0,0,0,0,0,0,0,0,0,0
701,100,0,50,0,0,0,152,-1344,64,0,0,0,0.0000,0,0,0,0,0,0.0000,0,0,0,0,0,0,0,0,0,0
704,100,0,50,0,0,0,152,-1344,64,0,0,0,0.0000,0,0,0,0,0,0.0000,0,0,0,0,0,0,0,0,0,0
706,100,0,50,0,0,0,152,-1344,64,0,0,0,0.0000,0,0,0,0,0,0.0000,0,0,0,0,0,0,0,0,0,0
709,100,0,50,0,0,0,152,-1344,64,0,0,0,0.0000,0,0,0,0,0,0.0000,0,0,0,0,0,0,0,0,0,0
711,100,0,50,0,0,0,152,-1344,64,0,0,0,0.0000,0,0,0,0,0,0.0000,0,0,0,0,0,0,0,0,0,0
714,100,0,50,0,0,0,152,-1344,64,0,0,0,0.0000,0,0,0,0,0,0.0000,0,0,0,0,0,0,0,0,0,0
716,100,0,50,0,0,0,152,-1344,64,0,0,0,0.0000,0,0,0,0,0,0.0000,0,0,0,0,0,0,0,0,0,0
719,100,0,50,0,0,0,152,-1344,64,0,0,0,0.0000,0,0,0,0,0,0.0000,0,0,0,0,0,0,0,0,0,0
721,100,0,50,0,0,0,152,-1344,64,0,0,0,0.0000,0,0,0,0,0,0.0000,0,0,0,0,0,0,0,0,0,0
724,100,0,50,0,0,0,152,-1344,64,0,0,0,0.0000,0,0,0,0,0,0.0000,0,0,0,0,0,0,0,0,0,0
726,100,0,50,0,0,0,152,-1344,64,0,180224,0,2.7500,0,0,0,0,0,0.0000,0,0,0,0,0,0,0,0,0,0
729,100,0,50,0,0,0,152,-1330,64,0,368340,0,5.6204,0,0,0,0,0,14.6106,0,0,0,0,0,0,0,0,0,0
731,100,0,50,0,0,0,152,-1320,64,0,427814,0,6.5279,0,0,0,0,0,10.2283,0,0,0,0,0,0,0,0,0,0
734,100,0,50,0,0,0,152,-1296,64,0,685274,0,10.4565,0,0,0,0,0,24.0282,0,0,0,0,0,0,0,0,0,0
736,100,0,50,0,0,0,152,-1277,64,0,460950,0,7.0335,0,0,0,0,0,19.0313,0,0,0,0,0,0,0,0,0,0
739,100,0,50,0,0,0,152,-1259,64,0,254100,0,3.8773,0,0,0,0,0,17.5310,0,0,0,0,0,0,0,0,0,0
741,100,0,50,0,0,0,152,-1252,64,0,170730,0,2.6051,0,0,0,0,0,7.0560,0,0,0,0,0,0,0,0,0,0
744,100,0,50,0,0,0,152,-1246,64,0,93870,0,1.4323,0,0,0,0,0,6.4888,0,0,0,0,0,0,0,0,0,0
746,100,0,50,0,0,0,152,-1243,64,0,63000,0,0.9613,0,0,0,0,0,2.6051,0,0,0,0,0,0,0,0,0,0
749,100,0,50,0,0,0,152,-1241,64,0,34440,0,0.5255,0,0,0,0,0,2.3936,0,0,0,0,0,0,0,0,0,0
751,100,0,50,0,0,0,152,-1240,64,0,203114,0,3.0993,0,0,0,0,0,0.9549,0,0,2,1,0,0,0,0,0,0
754,100,0,50,0,0,0,152,-1236,64,0,0,0,0.0000,0,0,0,0,0,3.9964,0,0,2,1,0,0,0,0,0,0
756,100,0,50,0,0,0,152,-1236,64,0,0,0,0.0000,0,0,0,0,0,0.0000,0,0,2,1,0,0,0,0,0,0
759,100,0,50,0,0,0,152,-1236,64,0,0,0,0.0000,0,0,0,0,0,0.0000,0,0,2,1,0,0,0,0,0,0
761,100,0,50,0,0,0,152,-1236,64,0,0,0,0.0000,0,0,0,0,0,0.0000,0,0,2,1,0,0,0,0,0,0
764,100,0,50,0,0,0,152,-1236,64,0,0,0,0.0000,0,0,0,0,0,0.0000,0,0,2,1,0,0,0,0,0,0
766,100,0,50,0,0,0,152,-1236,64,0,0,0,0.0000,0,0,0,0,0,0.0000,0,0,2,1,0,0,0,0,0,0
769,100,0,50,0,0,0,152,-1236,64,0,0,0,0.0000,0,0,0,0,0,0.0000,0,0,2,1,0,0,0,0,0,0
771,100,0,50,0,0,0,152,-1236,64,0,0,0,0.0000,0,0,0,0,0,0.0000,0,0,2,1,0,0,0,0,0,0
774,100,0,50,0,0,0,152,-1236,64,0,0,0,0.0000,0,0,0,0,0,0.0000,0,0,2,1,0,0,0,0,0,0
776,100,0,50,0,0,0,152,-1236,64,0,0,0,0.0000,0,0,0,0,0,0.0000,0,0,2,1,0,0,0,0,0,0
779,100,0,50,0,0,0,152,-1236,64,0,0,0,0.0000,0,0,0,0,0,0.0000,0,0,2,1,0,0,0,0,0,0
781,100,0,50,0,0,0,152,-1236,64,0,0,0,0.0000,0,0,0,0,0,0.0000,0,0,2,1,0,0,0,0,0,0
784,100,0,50,0,0,0,152,-1236,64,0,0,0,0.0000,0,0,0,0,0,0.0000,0,0,2,1,0,0,0,0,0,0
786,100,0,50,0,0,0,152,-1236,64,0,0,0,0.0000,0,0,0,0,0,0.0000,0,0,2,1,0,0,0,0,0,0
789,100,0,50,0,0,0,149,-1236,64,-283616,85076,0,4.5181,0,0,0,0,0,2.4060,0,0,2,1,0,0,0,0,0,0
791,100,0,50,0,0,0,139,-1236,64,-459201,94190,0,7.1527,0,0,0,0,0,9.8919,0,0,2,1,0,0,0,0,0,0
794,100,0,50,0,0,0,116,-1236,64,-609327,95246,0,9.4105,0,0,0,0,0,23.0721,0,0,2,1,0,0,0,0,0,0
796,100,0,50,0,0,0,98,-1236,64,-659934,103207,0,10.1922,0,0,0,0,0,18.5981,0,0,2,1,0,0,0,0,0,0
799,100,0,50,0,0,0,69,-1228,64,-458430,133350,0,7.2850,0,0,0,0,0,29.8433,0,0,2,1,0,0,0,0,0,0
801,100,0,50,0,0,0,56,-1225,64,-308700,89460,0,4.9042,0,0,0,0,0,13.2610,0,0,2,1,0,0,0,0,0,0
804,100,0,60,0,0,0,44,-1221,64,-170730,49140,0,2.7109,0,10,0,0,0,12.2292,0,0,2,1,0,0,0,0,0,0
806,100,0,60,0,0,0,39,-1220,64,-115080,32760,0,1.8257,0,0,0,0,0,4.9341,0,1,2,1,0,0,0,0,1,0
809,100,0,59,0,0,0,35,-1219,64,-63840,17850,0,1.0115,0,-1,0,0,0,4.5556,0,1,2,1,0,0,0,0,0,0
811,100,0,59,0,0,0,33,-1218,64,-43260,11760,0,0.6841,0,0,0,0,0,1.8425,0,1,2,1,0,0,0,0,0,0
