tick,health,armor,ammo_bullets,ammo_shells,ammo_cells,ammo_rockets,pos_x,pos_y,pos_z,mom_x,mom_y,mom_z,speed,health_delta,ammo_bullets_delta,ammo_shells_delta,ammo_cells_delta,ammo_rockets_delta,distance_delta,damage_count,attack_down,cheats_flag,god_mode,noclip,infinite_ammo,speedhack,damage_attempts,shots_fired,player_state
16545,134,85,224,99,20,10,0,-160,0,0,0,0,0.0000,0,0,0,0,0,0.0000,0,1,0,0,0,0,0,0,0,0
16547,134,85,224,99,20,10,0,-160,0,0,0,0,0.0000,0,0,0,0,0,0.0000,0,1,0,0,0,0,0,0,0,0
16550,134,85,224,99,20,10,0,-160,0,0,0,0,0.0000,0,0,0,0,0,0.0000,0,1,0,0,0,0,0,0,0,0
16552,134,85,224,99,20,10,0,-160,0,0,0,0,0.0000,0,0,0,0,0,0.0000,0,1,0,0,0,0,0,0,0,0
16555,134,85,224,99,20,10,0,-160,0,0,0,0,0.0000,0,0,0,0,0,0.0000,0,0,0,0,0,0,0,0,0,0
16557,134,85,224,99,20,10,0,-160,0,0,0,0,0.0000,0,0,0,0,0,0.0000,0,0,0,0,0,0,0,0,0,0
16560,134,85,224,99,20,10,0,-160,0,0,0,0,0.0000,0,0,0,0,0,0.0000,0,0,0,0,0,0,0,0,0,0
16562,134,85,224,99,20,10,0,-160,0,0,0,0,0.0000,0,0,0,0,0,0.0000,0,0,0,0,0,0,0,0,0,0
16565,134,85,224,99,20,10,0,-160,0,0,0,0,0.0000,0,0,0,0,0,0.0000,0,0,0,0,0,0,0,0,0,0
16567,134,85,224,99,20,10,0,-160,0,0,0,0,0.0000,0,0,0,0,0,0.0000,0,0,0,0,0,0,0,0,0,0
16570,134,85,224,99,20,10,0,-160,0,1105,180218,0,2.7500,0,0,0,0,0,0.0000,0,0,0,0,0,0,0,0,0,0
16572,134,85,224,99,20,10,0,-153,0,2435,449021,0,6.8516,0,0,0,0,0,7.7526,0,0,0,0,0,0,0,0,0,0
16575,134,85,224,99,20,10,0,-128,0,-7418,696738,0,10.6320,0,0,0,0,0,24.8287,0,0,0,0,0,0,0,0,0,0
16577,134,85,224,99,20,10,-1,-106,0,-15325,796483,0,12.1556,0,0,0,0,0,22.1010,0,0,0,0,0,0,0,0,0,0
16580,134,85,224,99,20,10,-1,-68,0,-13020,888764,0,13.5629,0,0,0,0,0,38.0583,0,0,0,0,0,0,0,0,0,0
16582,134,85,224,99,20,10,-2,-40,0,-7085,925928,0,14.1290,0,0,0,0,0,27.4359,0,0,0,0,0,0,0,0,0,0
16585,134,85,224,99,20,10,-2,3,0,-1415,960158,0,14.6509,0,0,0,0,0,42.9758,0,0,0,0,0,0,0,0,0,0
16587,134,85,224,99,20,10,-2,32,0,895,974018,0,14.8623,0,0,0,0,0,29.4171,0,0,0,0,0,0,0,0,0,0
16590,134,85,224,99,20,10,-2,69,0,210,537390,0,8.1999,0,0,0,0,0,37.0492,0,1,0,0,0,0,0,0,1,0
16592,134,85,224,98,20,10,-2,76,0,0,361410,0,5.5147,0,0,-1,0,0,6.7259,0,1,0,0,0,0,0,0,0,0
16595,134,85,224,100,20,10,-2,90,0,0,199290,0,3.0409,0,0,2,0,0,13.7434,0,1,0,0,0,0,0,0,0,0
16597,134,85,224,100,20,10,-2,95,0,0,133980,0,2.0444,0,0,0,0,0,5.5339,0,1,0,0,0,0,0,0,0,0
16600,134,85,224,100,20,10,-2,100,0,0,73710,0,1.1247,0,0,0,0,0,5.0949,0,1,0,0,0,0,0,0,0,0
