tick,health,armor,ammo_bullets,ammo_shells,ammo_cells,ammo_rockets,pos_x,pos_y,pos_z,mom_x,mom_y,mom_z,speed,health_delta,ammo_bullets_delta,ammo_shells_delta,ammo_cells_delta,ammo_rockets_delta,distance_delta,damage_count,attack_down,cheats_flag,god_mode,noclip,infinite_ammo,speedhack,damage_attempts,shots_fired,player_state
4486,100,100,200,29,0,0,-2239,-2112,256,-606190,-904390,0,16.6131,0,0,0,0,0,35.0799,0,0,2,1,0,0,0,0,0,0
4489,100,100,200,29,0,0,-2261,-2154,256,-264520,-943240,0,14.9479,0,0,0,0,0,47.4052,0,0,2,1,0,0,0,0,0,0
4491,100,100,200,29,0,0,-2268,-2183,256,-126760,-958990,0,14.7603,0,0,0,0,0,29.733,0,0,2,1,0,0,0,0,0,0
4494,100,100,200,29,0,0,-2272,-2225,256,-51030,-649320,0,9.9384,0,0,0,0,0,41.628,0,0,2,1,0,0,0,0,0,0
4496,100,100,200,29,0,0,-2274,-2243,256,-34650,-437220,0,6.6924,0,0,0,0,0,18.093,0,0,2,1,0,0,0,0,0,0
4499,100,100,200,29,0,0,-2275,-2259,256,-19320,-241710,0,3.7,0,0,0,0,0,16.6895,0,0,2,1,0,0,0,0,0,0
4501,100,100,200,29,0,0,-2275,-2269,256,-143856,-510017,0,8.0859,0,0,0,0,0,9.4261,0,0,2,1,0,0,0,0,0,0
4504,100,100,200,29,0,0,-2288,-2296,256,-505353,-753488,0,13.8437,0,0,0,0,0,30.4472,0,0,2,1,0,0,0,0,0,0
4506,100,100,200,29,0,0,-2302,-2320,256,-329778,-835118,0,13.7005,0,0,0,0,0,27.4836,0,0,2,1,0,0,0,0,0,0
4509,100,100,200,29,0,0,-2314,-2360,256,-167868,-910508,0,14.1274,0,0,0,0,0,41.3996,0,0,2,1,0,0,0,0,0,0
4511,100,100,200,29,0,0,-2318,-2388,256,-101933,-940734,0,14.4385,0,0,0,0,0,28.41,0,0,2,1,0,0,0,0,0,0
4514,100,100,200,29,0,0,-2322,-2431,256,-41243,-968664,0,14.794,0,0,0,0,0,43.6941,0,0,2,1,0,0,0,0,0,0
4516,100,100,200,29,0,0,-2321,-2453,256,245008,-176031,0,4.6034,0,0,0,0,0,21.9481,0,0,2,1,0,0,0,0,0,0
4519,100,100,200,29,0,0,-2311,-2467,256,123321,-546449,0,8.5478,0,0,0,0,0,17.1782,0,0,2,1,0,0,0,0,0,0
4521,100,100,200,29,0,0,-2308,-2485,256,60512,-695124,0,10.6469,0,0,0,0,0,18.2142,0,0,2,1,0,0,0,0,0,0
4524,100,100,200,29,0,0,-2306,-2520,256,19320,-652680,0,9.9635,0,0,0,0,0,34.2446,0,0,2,1,0,0,0,0,0,0
4526,100,100,200,29,0,0,-2308,-2538,256,-314162,-463631,0,8.5456,0,0,0,0,0,18.384,0,0,2,1,0,0,0,0,0,0
4529,100,100,200,29,0,0,-2325,-2556,256,-293370,-276150,0,6.1477,0,0,0,0,0,25.0271,0,0,2,1,0,0,0,0,0,0
4531,100,100,200,29,0,0,-2333,-2564,256,29696,-301355,0,4.6206,0,0,0,0,0,11.1914,0,0,2,1,0,0,0,0,0,0
4534,100,100,200,29,0,0,-2322,-2580,256,581375,-457298,0,11.2865,0,0,0,0,0,19.7308,0,0,2,1,0,0,0,0,0,0
4536,100,100,200,29,0,0,-2303,-2595,256,801447,-524238,0,14.613,0,0,0,0,0,24.3789,0,0,2,1,0,0,0,0,0,0
4539,100,100,200,29,0,0,-2276,-2613,256,174787,43923,0,2.75,0,0,0,0,0,32.6197,0,0,2,1,0,0,0,0,0,0
4541,100,100,200,29,0,0,-2271,-2612,256,117390,29400,0,1.8466,0,0,0,0,0,5.003,0,0,2,1,0,0,0,0,0,0
4544,100,100,200,29,0,0,-2267,-2611,256,64470,15960,0,1.0134,0,0,0,0,0,4.5969,0,0,2,1,0,0,0,0,0,0
4546,100,100,200,29,0,0,-2265,-2611,256,43050,10500,0,0.6761,0,0,0,0,0,1.8419,0,0,2,1,0,0,0,0,0,0
4549,100,100,200,29,0,0,-2263,-2610,256,23520,5670,0,0.3692,0,0,0,0,0,1.6818,0,0,2,1,0,0,0,0,0,0
4551,100,100,200,29,0,0,-2263,-2610,256,15540,3780,0,0.244,0,0,0,0,0,0.6692,0,0,2,1,0,0,0,0,0,0
4554,100,100,200,29,0,0,-2262,-2610,256,8400,1890,0,0.1314,0,0,0,0,0,0.6024,0,0,2,1,0,0,0,0,0,0
4556,100,100,200,29,0,0,-2262,-2610,256,5460,1050,0,0.0848,0,0,0,0,0,0.2363,0,0,2,1,0,0,0,0,0,0
4559,100,100,200,29,0,0,-2264,-2609,256,-295415,131820,0,4.9361,0,0,0,0,0,2.5662,0,0,2,1,0,0,0,0,0,0
4561,100,100,200,29,0,0,-2274,-2603,256,-376104,359095,0,7.9346,0,0,0,0,0,11.5757,0,0,2,1,0,0,0,0,0,0
4564,100,100,200,29,0,0,-2289,-2582,256,-137789,632456,0,9.8769,0,0,0,0,0,25.8448,0,0,2,1,0,0,0,0,0,0
4566,100,100,200,29,0,0,-2291,-2562,256,48613,721373,0,11.0322,0,0,0,0,0,20.2192,0,0,2,1,0,0,0,0,0,0
4569,100,100,200,29,0,0,-2286,-2528,256,220393,803063,0,12.7069,0,0,0,0,0,34.8206,0,0,2,1,0,0,0,0,0,0
4571,100,100,200,29,0,0,-2279,-2503,256,289693,836033,0,13.501,0,0,0,0,0,25.8375,0,0,2,1,0,0,0,0,0,0
4574,100,100,200,29,0,0,-2265,-2464,256,353533,866483,0,14.2796,0,0,0,0,0,41.3696,0,0,2,1,0,0,0,0,0,0
4576,100,100,200,29,0,0,-2254,-2437,256,387279,874516,0,14.594,0,0,0,0,0,28.7358,0,0,2,1,0,0,0,0,0,0
4579,100,100,200,29,0,0,-2241,-2395,256,71104,950736,0,14.5476,0,0,0,0,0,44.5548,0,0,2,1,0,0,0,0,0,0
4581,100,100,200,29,0,0,-2239,-2366,256,-4478,963333,0,14.6995,0,0,0,0,0,29.1603,0,0,2,1,0,0,0,0,0,0
4584,100,100,200,29,0,0,-2241,-2321,256,-74198,975093,0,14.9218,0,0,0,0,0,44.3253,0,0,2,1,0,0,0,0,0,0
4586,100,100,200,29,0,0,-2243,-2292,256,-102128,979713,0,15.0302,0,0,0,0,0,29.9005,0,0,2,1,0,0,0,0,0,0
4589,100,100,200,29,0,0,-2248,-2247,256,-127958,984333,0,15.1461,0,0,0,0,0,45.2187,0,0,2,1,0,0,0,0,0,0
4591,100,100,200,29,0,0,-2252,-2217,256,-136199,986542,0,15.1962,0,0,0,0,0,30.3194,0,0,2,1,0,0,0,0,0,0
4594,100,100,200,29,0,0,-2258,-2171,256,-86195,992573,0,15.2025,0,0,0,0,0,45.6224,0,0,2,1,0,0,0,0,0,0
4596,100,100,200,29,0,0,-2260,-2141,256,-5906,991284,0,15.1261,0,0,0,0,0,30.3755,0,0,2,1,0,0,0,0,0,0
4599,100,100,200,29,0,0,-2259,-2099,256,37590,661080,0,10.1036,0,0,0,0,0,42.4431,0,0,2,1,0,0,0,0,0,0
4601,100,100,200,29,0,0,-2258,-2080,256,24990,444780,0,6.7975,0,0,0,0,0,18.3904,0,0,2,1,0,0,0,0,0,0
4604,100,100,200,29,0,0,-2257,-2063,256,191609,218154,0,4.4304,0,0,0,0,0,16.9421,0,0,2,1,0,0,0,0,0,0
4606,100,100,200,29,0,0,-2249,-2058,256,453059,97194,0,7.0704,0,0,0,0,0,9.8232,0,0,2,1,0,0,0,0,0,0
4609,100,100,200,29,0,0,-2224,-2055,256,694139,-14316,0,10.594,0,0,0,0,0,25.0262,0,0,2,1,0,0,0,0,0,0
4611,100,100,200,29,0,0,-2202,-2056,256,791159,-59046,0,12.1057,0,0,0,0,0,22.0123,0,0,2,1,0,0,0,0,0,0
4614,100,100,200,29,0,0,-2164,-2060,256,864703,-160096,0,13.4186,0,0,0,0,0,37.8882,0,0,2,1,0,0,0,0,0,0
4616,100,100,200,29,0,0,-2140,-2068,256,573403,-568028,0,12.3157,0,0,0,0,0,25.8651,0,0,2,1,0,0,0,0,0,0
4619,100,100,200,29,0,0,-2123,-2099,256,155648,-828335,0,12.8606,0,0,0,0,0,35.7483,0,0,2,1,0,0,0,0,0,0
4621,100,100,200,29,0,0,-2118,-2125,256,97964,-885441,0,13.5932,0,0,0,0,0,26.1227,0,0,2,1,0,0,0,0,0,0
4624,100,100,200,29,0,0,-2115,-2167,256,19654,-936943,0,14.2998,0,0,0,0,0,41.5411,0,0,2,1,0,0,0,0,0,0
4626,100,100,200,29,0,0,-2115,-2195,256,-14273,-957620,0,14.6137,0,0,0,0,0,28.7674,0,0,2,1,0,0,0,0,0,0
4629,100,100,200,29,0,0,-2116,-2213,256,-15120,0,0,0.2307,0,0,0,0,0,17.7388,0,0,2,1,0,0,0,0,0,0
4631,100,100,200,29,0,0,-2116,-2213,256,-10500,0,0,0.1602,0,0,0,0,0,0.423,0,0,2,1,0,0,0,0,0,0
4634,100,100,200,29,0,0,-2116,-2205,256,41298,446754,0,6.846,0,0,0,0,0,7.7232,0,0,2,1,0,0,0,0,0,0
4636,100,100,200,29,0,0,-2114,-2190,256,62298,626724,0,9.6102,0,0,0,0,0,15.2111,0,0,2,1,0,0,0,0,0,0
4639,100,100,200,29,0,0,-2111,-2159,256,110411,787900,0,12.1399,0,0,0,0,0,31.7124,0,0,2,1,0,0,0,0,0,0
4641,100,100,200,29,0,0,-2109,-2133,256,-166239,809517,0,12.61,0,0,0,0,0,25.4974,0,0,2,1,0,0,0,0,0,0
4644,100,100,200,29,0,0,-2122,-2098,256,-442797,726925,0,12.9878,0,0,0,0,0,37.5724,0,0,2,1,0,0,0,0,0,0
4646,100,100,200,29,0,0,-2136,-2076,256,-664118,559087,0,13.2464,0,0,0,0,0,26.2677,0,0,2,1,0,0,0,0,0,0
4649,100,100,200,29,0,0,-2173,-2056,256,-993864,205716,0,15.4866,0,0,0,0,0,41.1446,0,0,2,1,0,0,0,0,0,0
4651,100,100,200,29,0,0,-2202,-2053,256,-850815,-134980,0,13.1448,0,0,0,0,0,29.3399,0,0,2,1,0,0,0,0,0,0
4654,100,100,200,29,0,0,-2238,-2064,256,-713235,-452511,0,12.8887,0,0,0,0,0,38.428,0,0,2,1,0,0,0,0,0,0
4656,100,100,200,29,0,0,-2259,-2079,256,-633314,-594740,0,13.2567,0,0,0,0,0,25.9286,0,0,2,1,0,0,0,0,0,0
4659,100,100,200,29,0,0,-2286,-2109,256,-334701,-807623,0,13.3397,0,0,0,0,0,40.2238,0,0,2,1,0,0,0,0,0,0
4661,100,100,200,29,0,0,-2294,-2135,256,-18544,-958985,0,14.6357,0,0,0,0,0,26.9947,0,0,2,1,0,0,0,0,0,0
4664,100,100,200,29,0,0,-2293,-2180,256,-48853,-991871,0,15.1531,0,0,0,0,0,45.4692,0,0,2,1,0,0,0,0,0,0
4666,100,100,200,29,0,0,-2295,-2211,256,-150073,-974015,0,15.0377,0,0,0,0,0,30.2128,0,0,2,1,0,0,0,0,0,0
4669,100,100,200,29,0,0,-2303,-2255,256,-245088,-957017,0,15.0742,0,0,0,0,0,45.105,0,0,2,1,0,0,0,0,0,0
4671,100,100,200,29,0,0,-2311,-2284,256,-285098,-949424,0,15.1261,0,0,0,0,0,30.1739,0,0,2,1,0,0,0,0,0,0
4674,100,100,200,29,0,0,-2316,-2323,256,166032,-800641,0,12.4767,0,0,0,0,0,39.1913,0,0,2,1,0,0,0,0,0,0
4676,100,100,200,29,0,0,-2310,-2349,256,79059,-892431,0,13.6707,0,0,0,0,0,26.5867,0,0,2,1,0,0,0,0,0,0
