tick,health,armor,ammo_bullets,ammo_shells,ammo_cells,ammo_rockets,pos_x,pos_y,pos_z,mom_x,mom_y,mom_z,speed,health_delta,ammo_bullets_delta,ammo_shells_delta,ammo_cells_delta,ammo_rockets_delta,distance_delta,damage_count,attack_down,cheats_flag,god_mode,noclip,infinite_ammo,speedhack,damage_attempts,shots_fired,player_state
6164,92,95,200,50,300,50,-1440,-1506,64,22466,-431529,0,6.5935,0,0,0,0,0,25.8461,0,1,128,0,0,1,0,0,0,0
6166,92,95,200,50,300,50,-1437,-1519,64,306596,-440769,0,8.1927,0,0,0,0,0,13.5964,0,1,128,0,0,1,0,0,0,0
6169,92,95,200,50,300,50,-1419,-1540,64,502323,-540138,0,11.2551,0,0,0,0,0,27.8230,0,0,128,0,0,1,0,0,0,0
6171,92,95,200,50,300,50,-1412,-1559,64,-155846,-653098,0,10.2453,0,0,0,0,0,20.2155,0,0,128,0,0,1,0,0,0,0
6174,92,95,200,50,300,50,-1424,-1581,64,-364692,-80166,0,5.6976,0,0,0,0,0,25.8219,0,1,128,0,0,1,0,0,1,0
6176,92,95,200,50,300,50,-1435,-1581,64,-475577,-76679,0,7.3504,0,0,0,0,0,11.2030,0,1,128,0,0,1,0,0,0,0
6179,92,95,200,50,300,50,-1459,-1581,64,-644611,-59802,0,9.8782,0,0,0,0,0,23.9359,0,1,128,0,0,1,0,0,0,0
6181,92,95,200,50,300,50,-1480,-1580,64,-828974,217303,0,13.0765,0,0,0,0,0,20.8459,0,1,128,0,0,1,0,0,0,0
6184,92,95,200,50,300,50,-1521,-1566,64,-1022913,410474,0,16.8182,0,0,0,0,0,43.3795,0,1,128,0,0,1,0,0,0,0
6186,92,95,200,50,300,50,-1537,-1560,64,-226593,116684,0,3.8890,0,0,0,0,0,16.8182,0,1,128,0,0,1,0,0,0,0
6189,92,95,200,50,300,50,-1540,-1555,64,-226593,116684,0,3.8890,0,0,0,0,0,6.0946,0,0,128,0,0,1,0,0,0,0
6191,92,95,200,50,300,50,-1540,-1553,64,-246703,64014,0,3.8891,0,0,0,0,0,1.7805,0,0,128,0,0,1,0,0,0,0
6194,92,95,200,50,300,50,-1540,-1553,64,-251573,40873,0,3.8890,0,0,0,0,0,0.6325,0,0,128,0,0,1,0,0,0,0
6196,81,90,200,50,300,50,-1540,-1554,64,-784132,53417,0,11.9926,-11,0,0,0,0,1.0648,9,0,128,0,0,1,0,1,0,0
6199,81,90,200,50,300,50,-1540,-1553,64,-247658,60221,0,3.8891,0,0,0,0,0,0.8151,6,1,128,0,0,1,0,0,1,0
6201,81,90,200,50,300,50,-1540,-1554,64,-278137,-174281,0,5.0084,0,0,0,0,0,1.4570,4,1,128,0,0,1,0,0,0,0
6204,81,90,200,50,300,50,-1552,-1565,64,-534127,-335351,0,9.6233,0,0,0,0,0,15.6303,1,1,128,0,0,1,0,0,0,0
6206,81,90,200,50,300,50,-1569,-1576,64,-633282,-406804,0,11.4851,0,0,0,0,0,20.2689,0,1,128,0,0,1,0,0,0,0
6209,81,90,200,50,300,50,-1586,-1581,64,-386733,-97235,0,6.0847,0,0,0,0,0,17.6245,0,1,128,0,0,1,0,0,0,0
6211,81,90,200,50,300,50,-1598,-1581,64,-535626,-67048,0,8.2368,0,0,0,0,0,12.5999,0,0,128,0,0,1,0,0,0,0
6214,81,90,200,50,300,50,-1625,-1581,64,-661383,186067,0,10.4837,0,0,0,0,0,26.2586,0,1,128,0,0,1,0,0,1,0
6216,81,90,200,50,300,50,-1645,-1573,64,-722848,496370,0,13.3799,0,0,0,0,0,22.3576,0,1,128,0,0,1,0,0,0,0
6219,81,90,200,50,300,50,-1679,-1545,64,-719979,822184,0,16.6758,0,0,0,0,0,43.5848,0,1,128,0,0,1,0,0,0,0
6221,81,90,200,50,300,50,-1700,-1519,64,-714898,955856,0,18.2133,0,0,0,0,0,34.1751,0,1,128,0,0,1,0,0,0,0
6224,81,90,200,50,300,50,-1735,-1480,64,-828447,645479,0,16.0251,0,0,0,0,0,51.7439,0,1,128,0,0,1,0,0,0,0
6226,81,90,200,50,300,50,-1761,-1462,64,-872693,525842,0,15.5468,0,0,0,0,0,31.7274,0,1,128,0,0,1,0,0,0,0
6229,81,90,200,50,300,50,-1802,-1440,64,-1050774,365593,0,16.9763,0,0,0,0,0,46.9436,0,0,128,0,0,1,0,0,0,0
